#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0429,Mismagius,Ghost,211,187,155,10%,7%,"Hex, Magical Leaf, Sucker Punch","Dark Pulse, Dazzling Gleam, Shadow Ball, Frustration (Shadow), Return (Purified)"
0430,Honchkrow,Dark Flying,243,103,225,10%,7%,"Peck, Snarl","Brave Bird, Dark Pulse, Psychic, Sky Attack, Frustration (Shadow), Return (Purified)"
0431,Glameow,Normal,109,82,135,40%,10%,"Quick Attack, Scratch","Aerial Ace, Play Rough, Thunderbolt, Frustration (Shadow), Return (Purified)"
0432,Purugly,Normal,172,133,174,15%,8%,"Scratch, Shadow Claw","Aerial Ace, Play Rough, Thunder, Frustration (Shadow), Return (Purified)"
0433,Chingling,Psychic,114,94,128,10%,4%,"Astonish, Zen Headbutt","Psyshock, Shadow Ball, Wrap"
0434,Stunky,Poison Dark,121,90,160,50%,10%,"Bite, Scratch","Crunch, Flamethrower, Sludge Bomb, Trailblaze, Frustration (Shadow), Return (Purified)"
0435,Skuntank,Poison Dark,184,132,230,20%,6%,"Bite, Poison Jab","Crunch, Flamethrower, Sludge Bomb, Trailblaze, Frustration (Shadow), Return (Purified)"
0436,Bronzor,Steel Psychic,43,154,149,50%,10%,"Confusion, Tackle","Gyro Ball, Heavy Slam, Payback, Psyshock"
0437,Bronzong,Steel Psychic,161,213,167,20%,6%,"Confusion, Feint Attack","Bulldoze, Flash Cannon, Heavy Slam, Payback, Psychic, Psyshock"
0438,Bonsly,Rock,124,133,137,10%,4%,"Counter, Rock Throw","Earthquake, Rock Slide, Rock Tomb"
0439,Mime Jr.,Psychic Fairy,125,142,85,10%,4%,"Confusion, Pound","Psybeam, Psychic, Psyshock"
0440,Happiny,Normal,25,77,225,10%,4%,"Pound, Zen Headbutt",Psychic
0441,Chatot,Normal Flying,183,91,183,30%,9%,"Peck, Steel Wing","Heat Wave, Night Shade, Sky Attack"
0442,Spiritomb,Ghost Dark,169,199,137,10%,4%,"Feint Attack, Sucker Punch","Ominous Wind, Shadow Ball, Shadow Sneak"
0443,Gible,Dragon Ground,124,84,151,40%,9%,"Mud Shot, Take Down","Body Slam, Dig, Twister, Frustration (Shadow), Return (Purified)"
0444,Gabite,Dragon Ground,172,125,169,10%,6%,"Mud Shot, Take Down","Dig, Flamethrower, Twister, Frustration (Shadow), Return (Purified)"
0445,Garchomp,Dragon Ground,261,193,239,5%,5%,"Dragon Tail, Mud Shot","Earthquake, Fire Blast, Outrage, Sand Tomb, Earth Power (Community Day), Frustration (Shadow), Return (Purified)"
0446,Munchlax,Normal,137,117,286,10%,4%,"Lick, Tackle","Body Slam, Bulldoze, Gunk Shot"
0447,Riolu,Fighting,127,78,120,25%,20%,"Counter, Quick Attack","Blaze Kick, Brick Break, Cross Chop, Low Sweep"
0448,Lucario,Fighting Steel,236,144,172,10%,5%,"Bullet Punch, Counter","Aura Sphere, Blaze Kick, Close Combat, Flash Cannon, Power-Up Punch, Shadow Ball"
0449,Hippopotas,Ground,124,118,169,40%,10%,"Bite, Tackle","Body Slam, Dig, Rock Tomb, Frustration (Shadow), Return (Purified)"
0450,Hippowdon,Ground,201,191,239,15%,8%,"Bite, Fire Fang, Ice Fang, Thunder Fang","Body Slam, Earth Power, Earthquake, Scorching Sands, Stone Edge, Weather Ball - Rock, Frustration (Shadow), Return (Purified)"
0451,Skorupi,Poison Bug,93,151,120,40%,10%,"Infestation, Poison Sting","Aqua Tail, Cross Poison, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0452,Drapion,Poison Dark,180,202,172,15%,8%,"Bite, Ice Fang, Infestation, Poison Sting","Aqua Tail, Crunch, Fell Stinger, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0453,Croagunk,Poison Fighting,116,76,134,40%,12%,"Mud Shot, Poison Jab, Poison Sting","Brick Break, Low Sweep, Sludge Bomb"
0454,Toxicroak,Poison Fighting,211,133,195,15%,7%,"Counter, Mud Shot, Poison Jab","Dynamic Punch, Mud Bomb, Sludge Bomb"
0455,Carnivine,Grass,187,136,179,90%,1%,"Bite, Vine Whip","Crunch, Energy Ball, Power Whip"
0456,Finneon,Water,96,116,135,50%,10%,"Pound, Water Gun","Ice Beam, Silver Wind, Water Pulse"
0457,Lumineon,Water,142,170,170,20%,6%,"Water Gun, Waterfall","Blizzard, Silver Wind, Water Pulse"
0458,Mantyke,Water Flying,105,179,128,10%,4%,"Bubble, Tackle","Aerial Ace, Ice Beam, Water Pulse"
0459,Snover,Grass Ice,115,105,155,30%,10%,"Ice Shard, Leafage, Powder Snow","Energy Ball, Ice Beam, Stomp, Frustration (Shadow), Return (Purified)"
0460,Abomasnow,Grass Ice,178,158,207,12.5%,6%,"Leafage, Powder Snow, Razor Leaf","Blizzard, Energy Ball, Outrage, Weather Ball - Ice, Frustration (Shadow), Return (Purified)"
0460,Abomasnow Mega Abomasnow,Grass Ice,240,191,207,12.5%,6%,,
0461,Weavile,Dark Ice,243,171,172,15%,9%,"Feint Attack, Ice Shard, Snarl","Avalanche, Focus Blast, Foul Play, Triple Axel, Frustration (Shadow), Return (Purified)"
0462,Magnezone,Electric Steel,238,205,172,12.5%,5%,"Charge Beam, Spark, Volt Switch","Flash Cannon, Mirror Shot, Wild Charge, Zap Cannon, Frustration (Shadow), Return (Purified)"
0463,Lickilicky,Normal,161,181,242,15%,9%,"Lick, Zen Headbutt","Earthquake, Hyper Beam, Shadow Ball, Solar Beam, Body Slam (legacy)"
0464,Rhyperior,Ground Rock,241,190,251,5%,5%,"Mud-Slap, Smack Down","Breaking Swipe, Earthquake, Skull Bash, Stone Edge, Superpower, Surf, Rock Wrecker (Community Day), Frustration (Shadow), Return (Purified)"
0465,Tangrowth,Grass,207,184,225,15%,10%,"Infestation, Vine Whip","Ancient Power, Power Whip, Rock Slide, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
0466,Electivire,Electric,249,163,181,15%,10%,"Low Kick, Thunder Shock","Ice Punch, Thunder, Thunder Punch, Wild Charge, Flamethrower (Community Day), Frustration (Shadow), Return (Purified)"
0467,Magmortar,Fire,247,172,181,15%,10%,"Fire Spin, Karate Chop","Brick Break, Fire Blast, Fire Punch, Psychic, Scorching Sands, Thunderbolt (Community Day), Frustration (Shadow), Return (Purified)"
0468,Togekiss,Fairy Flying,225,217,198,1%,5%,"Air Slash, Charm, Hidden Power","Aerial Ace, Ancient Power, Dazzling Gleam, Flamethrower, Aura Sphere (Community Day)"
0469,Yanmega,Bug Flying,231,156,200,17.5%,5%,"Bug Bite, Wing Attack","Aerial Ace, Ancient Power, Bug Buzz"
0470,Leafeon,Grass,216,219,163,12.5%,6%,"Quick Attack, Razor Leaf, Bullet Seed (Community Day)","Energy Ball, Leaf Blade, Solar Beam, Last Resort (Community Day)"
0471,Glaceon,Ice,238,205,163,12.5%,6%,"Frost Breath, Ice Shard","Avalanche, Ice Beam, Icy Wind, Last Resort (Community Day), Water Pulse (Community Day)"
0472,Gliscor,Ground Flying,185,222,181,12.5%,9%,"Fury Cutter, Wing Attack","Aerial Ace, Earthquake, Night Slash, Sand Tomb, Frustration (Shadow), Return (Purified)"
0473,Mamoswine,Ice Ground,247,146,242,5%,5%,"Mud-Slap, Powder Snow","Avalanche, Bulldoze, High Horsepower, Stone Edge, Ancient Power (Community Day), Frustration (Shadow), Return (Purified)"
0474,Porygon-Z,Normal,264,150,198,5%,5%,"Charge Beam, Hidden Power, Lock-On","Blizzard, Hyper Beam, Solar Beam, Zap Cannon, Tri Attack (Community Day), Frustration (Shadow), Return (Purified)"
0475,Gallade,Psychic Fighting,237,195,169,50%,5%,"Charm, Confusion, Low Kick","Close Combat, Leaf Blade, Psychic, Synchronoise (Community Day), Frustration (Shadow), Return (Purified)"
0476,Probopass,Rock Steel,135,275,155,10%,7%,"Rock Throw, Spark","Magnet Bomb, Rock Slide, Thunderbolt, Zap Cannon, Frustration (Shadow), Return (Purified)"
0477,Dusknoir,Ghost,180,254,128,10%,5%,"Astonish, Hex","Dark Pulse, Ominous Wind, Poltergeist, Psychic, Shadow Ball (Community Day), Frustration (Shadow), Return (Purified)"
0478,Froslass,Ice Ghost,171,150,172,20%,7%,"Hex, Powder Snow","Avalanche, Crunch, Shadow Ball"
0479,Rotom Wash Rotom,Electric Water,204,219,137,30%,10%,"Astonish, Thunder Shock","Hydro Pump, Thunder, Thunderbolt"
0479,Rotom Mow Rotom,Electric Grass,204,219,137,30%,10%,"Astonish, Thunder Shock","Ominous Wind, Thunder, Thunderbolt"
0480,Uxie,Psychic,156,270,181,2%,0%,"Confusion, Extrasensory","Future Sight, Swift, Thunder"
0481,Mesprit,Psychic,212,212,190,2%,0%,"Confusion, Extrasensory","Blizzard, Future Sight, Swift"
0482,Azelf,Psychic,270,151,181,2%,0%,"Confusion, Extrasensory","Fire Blast, Future Sight, Swift"
0483,Dialga,Steel Dragon,275,211,205,2%,4%,"Dragon Breath, Metal Claw","Draco Meteor, Iron Head, Thunder"
0484,Palkia,Water Dragon,280,215,189,2%,4%,"Dragon Breath, Dragon Tail","Aqua Tail, Draco Meteor, Fire Blast, Hydro Pump"
0485,Heatran,Fire Steel,251,213,209,2%,4%,"Bug Bite, Fire Spin","Earth Power, Fire Blast, Flamethrower, Iron Head, Stone Edge, Magma Storm (legacy)"
0486,Regigigas,Normal,287,210,221,2%,4%,"Hidden Power, Zen Headbutt","Focus Blast, Giga Impact, Thunder, Frustration (Shadow), Return (Purified)"
0487,Giratina Altered Forme,Ghost Dragon,187,225,284,2%,4%,"Dragon Breath, Shadow Claw","Ancient Power, Dragon Claw, Shadow Sneak, Shadow Force (legacy)"
0487,Giratina Origin Forme,Ghost Dragon,225,187,284,2%,4%,"Dragon Tail, Shadow Claw","Dragon Pulse, Ominous Wind, Shadow Ball, Shadow Force (legacy)"
0488,Cresselia,Psychic,152,258,260,2%,4%,"Confusion, Psycho Cut","Aurora Beam, Future Sight, Moonblast, Grass Knot (legacy)"
0491,Darkrai,Dark,285,198,172,2%,0%,"Feint Attack, Snarl","Dark Pulse, Focus Blast, Shadow Ball, Sludge Bomb (legacy)"
0492,Shaymin Land Forme,Grass,210,210,225,100%,0%,"Hidden Power, Magical Leaf, Zen Headbutt","Energy Ball, Grass Knot, Seed Flare, Solar Beam"
0492,Shaymin Sky Forme,Grass Flying,261,166,225,100%,0%,"Hidden Power, Magical Leaf, Zen Headbutt","Energy Ball, Grass Knot, Seed Flare, Solar Beam"
0494,Victini,Psychic Fire,210,210,225,100%,0%,"Confusion, Quick Attack","Focus Blast, Overheat, Psychic, V-create"
0495,Snivy,Grass,88,107,128,20%,10%,"Tackle, Vine Whip","Energy Ball, Seed Bomb, Wrap"
0496,Servine,Grass,122,152,155,10%,10%,"Iron Tail, Vine Whip","Grass Knot, Leaf Tornado, Wrap"
0497,Serperior,Grass,161,204,181,5%,5%,"Iron Tail, Vine Whip","Aerial Ace, Grass Knot, Leaf Tornado, Frenzy Plant (Community Day)"
0498,Tepig,Fire,115,85,163,20%,10%,"Ember, Tackle","Body Slam, Flame Charge, Flamethrower"
0499,Pignite,Fire Fighting,173,106,207,10%,7%,"Ember, Tackle","Flame Charge, Flamethrower, Rock Tomb"
0500,Emboar,Fire Fighting,235,127,242,5%,5%,"Ember, Low Kick","Flame Charge, Focus Blast, Heat Wave, Rock Slide, Blast Burn (Community Day)"
0501,Oshawott,Water,117,85,146,20%,10%,"Tackle, Water Gun","Aqua Tail, Night Slash, Water Pulse"
0502,Dewott,Water,159,116,181,10%,7%,"Fury Cutter, Water Gun","Aqua Tail, Water Pulse, X-Scissor"
0503,Samurott,Water,212,157,216,5%,5%,"Fury Cutter, Waterfall","Blizzard, Hydro Pump, Liquidation, Megahorn, Razor Shell, Hydro Cannon (Community Day)"
0504,Patrat,Normal,98,73,128,50%,20%,"Bite, Tackle","Dig, Grass Knot, Hyper Fang, Frustration (Shadow), Return (Purified)"
0505,Watchog,Normal,165,139,155,20%,7%,"Bite, Low Kick","Crunch, Grass Knot, Hyper Fang, Frustration (Shadow), Return (Purified)"
0506,Lillipup,Normal,107,86,128,50%,20%,"Tackle, Take Down","Dig, Rock Tomb, Thunderbolt"
0507,Herdier,Normal,145,126,163,25%,9%,"Lick, Take Down","Dig, Play Rough, Thunderbolt"
0508,Stoutland,Normal,206,182,198,12.5%,5%,"Ice Fang, Lick, Take Down","Crunch, Play Rough, Wild Charge"
0509,Purrloin,Dark,98,73,121,50%,20%,"Scratch, Sucker Punch","Dark Pulse, Night Slash, Play Rough, Frustration (Shadow), Return (Purified)"
0510,Liepard,Dark,187,106,162,20%,7%,"Charm, Snarl","Dark Pulse, Gunk Shot, Payback, Play Rough, Frustration (Shadow), Return (Purified)"
0511,Pansage,Grass,104,94,137,50%,20%,"Scratch, Vine Whip","Crunch, Energy Ball, Seed Bomb"
0512,Simisage,Grass,206,133,181,20%,7%,"Bite, Vine Whip","Crunch, Grass Knot, Solar Beam"
0513,Pansear,Fire,104,94,137,50%,20%,"Fire Spin, Scratch","Crunch, Flame Burst, Flame Charge"
0514,Simisear,Fire,206,133,181,20%,7%,"Bite, Fire Spin","Crunch, Fire Blast, Flamethrower"
0515,Panpour,Water,104,94,137,50%,20%,"Scratch, Water Gun","Crunch, Surf, Water Pulse"
0516,Simipour,Water,206,133,181,20%,7%,"Bite, Water Gun","Crunch, Hydro Pump, Surf"
0517,Munna,Psychic,111,92,183,50%,20%,"Charge Beam, Zen Headbutt","Dazzling Gleam, Psybeam, Psyshock"
0518,Musharna,Psychic,183,166,253,20%,7%,"Charge Beam, Zen Headbutt","Dazzling Gleam, Future Sight, Psyshock"
0519,Pidove,Normal Flying,98,80,137,50%,20%,"Air Slash, Quick Attack","Aerial Ace, Air Cutter, Heat Wave, Frustration (Shadow), Return (Purified)"
0520,Tranquill,Normal Flying,144,107,158,25%,9%,"Air Slash, Steel Wing","Aerial Ace, Heat Wave, Sky Attack, Frustration (Shadow), Return (Purified)"
0521,Unfezant,Normal Flying,226,146,190,12.5%,5%,"Air Slash, Steel Wing","Heat Wave, Hyper Beam, Sky Attack, Frustration (Shadow), Return (Purified)"
0522,Blitzle,Electric,118,64,128,30%,10%,"Quick Attack, Spark","Discharge, Flame Charge, Thunderbolt, Frustration (Shadow), Return (Purified)"
0523,Zebstrika,Electric,211,136,181,10%,7%,"Low Kick, Spark","Discharge, Flame Charge, Wild Charge, Frustration (Shadow), Return (Purified)"
0524,Roggenrola,Rock,121,110,146,50%,15%,"Smack Down, Tackle","Bulldoze, Rock Blast, Stone Edge"
0525,Boldore,Rock,174,143,172,25%,7%,"Mud-Slap, Smack Down","Bulldoze, Rock Slide, Stone Edge"
0526,Gigalith,Rock,226,201,198,12.5%,5%,"Mud-Slap, Smack Down","Heavy Slam, Rock Slide, Solar Beam, Superpower, Meteor Beam (Community Day)"
0527,Woobat,Psychic Flying,107,85,163,50%,20%,"Air Slash, Confusion","Aerial Ace, Air Cutter, Psyshock"
0528,Swoobat,Psychic Flying,161,119,167,20%,7%,"Air Slash, Confusion","Aerial Ace, Future Sight, Psychic, Psychic Fangs"
0529,Drilbur,Ground,154,85,155,50%,20%,"Mud-Slap, Scratch","Dig, Drill Run, Rock Tomb, Frustration (Shadow), Return (Purified)"
0530,Excadrill,Ground Steel,255,129,242,20%,7%,"Metal Claw, Mud Shot, Mud-Slap","Drill Run, Earthquake, Iron Head, Rock Slide, Scorching Sands, Frustration (Shadow), Return (Purified)"
0531,Audino,Normal,114,163,230,5%,5%,"Pound, Zen Headbutt","Dazzling Gleam, Disarming Voice, Hyper Beam"
0532,Timburr,Fighting,134,87,181,50%,15%,"Low Kick, Pound","Brick Break, Low Sweep, Rock Tomb"
0533,Gurdurr,Fighting,180,134,198,25%,7%,"Low Kick, Poison Jab","Brick Break, Low Sweep, Stone Edge"
0534,Conkeldurr,Fighting,243,158,233,12.5%,5%,"Counter, Poison Jab","Dynamic Punch, Focus Blast, Stone Edge, Brutal Swing (Community Day)"
0535,Tympole,Water,98,78,137,50%,15%,"Bubble, Mud Shot","Mud Bomb, Sludge Wave, Water Pulse"
0536,Palpitoad,Water Ground,128,109,181,25%,7%,"Bubble, Mud Shot","Earth Power, Sludge Wave, Water Pulse"
0537,Seismitoad,Water Ground,188,150,233,12.5%,5%,"Bubble, Mud Shot","Earth Power, Muddy Water, Sludge Bomb"
0538,Throh,Fighting,172,160,260,20%,7%,"Low Kick, Zen Headbutt","Body Slam, Focus Blast, Low Sweep, Frustration (Shadow), Return (Purified)"
0539,Sawk,Fighting,231,153,181,20%,7%,"Low Kick, Poison Jab","Body Slam, Focus Blast, Low Sweep, Frustration (Shadow), Return (Purified)"
0540,Sewaddle,Bug Grass,96,124,128,50%,15%,"Bug Bite, Struggle Bug","Energy Ball, Seed Bomb, Silver Wind"
0541,Swadloon,Bug Grass,115,162,146,25%,7%,"Bug Bite, Struggle Bug","Bug Buzz, Energy Ball, Silver Wind"
0542,Leavanny,Bug Grass,205,165,181,12.5%,5%,"Bug Bite, Razor Leaf","Leaf Blade, Leaf Storm, Silver Wind, X-Scissor"
0543,Venipede,Bug Poison,83,99,102,30%,10%,"Bug Bite, Poison Sting","Gyro Ball, Signal Beam, Sludge Bomb"
0544,Whirlipede,Bug Poison,100,173,120,15%,5%,"Bug Bite, Poison Sting","Gyro Ball, Signal Beam, Sludge Bomb"
0545,Scolipede,Bug Poison,203,175,155,20%,7%,"Bug Bite, Poison Jab","Gyro Ball, Megahorn, Sludge Bomb, X-Scissor"
0546,Cottonee,Grass Fairy,71,111,120,30%,10%,"Charm, Razor Leaf","Energy Ball, Grass Knot, Seed Bomb"
0547,Whimsicott,Grass Fairy,164,176,155,15%,5%,"Charm, Fairy Wind, Razor Leaf","Grass Knot, Hurricane, Moonblast, Seed Bomb"
0548,Petilil,Grass,119,91,128,30%,10%,"Charm, Hidden Power","Energy Ball, Seed Bomb"
0549,Lilligant,Grass,214,155,172,15%,5%,"Charm, Hidden Power, Magical Leaf","Hyper Beam, Petal Blizzard, Solar Beam"
0550,Basculin Red-Striped Form,Water,189,129,172,20%,7%,"Tackle, Water Gun","Aqua Jet, Aqua Tail, Muddy Water"
0550,Basculin Blue-Striped Form,Water,189,129,172,20%,7%,"Tackle, Water Gun","Aqua Jet, Aqua Tail, Muddy Water"
0551,Sandile,Ground Dark,132,69,137,50%,15%,"Bite, Mud-Slap","Bulldoze, Crunch, Dig"
0552,Krokorok,Ground Dark,155,90,155,25%,7%,"Bite, Mud-Slap","Bulldoze, Crunch, Earthquake"
0553,Krookodile,Ground Dark,229,158,216,12.5%,5%,"Mud-Slap, Snarl","Crunch, Earthquake, Outrage"
0554,Darumaka,Fire,153,86,172,30%,9%,"Fire Fang, Tackle","Fire Punch, Flame Charge, Frustration (Shadow), Return (Purified)"
0554,Darumaka Galarian Darumaka,Ice,153,86,172,30%,9%,"Ice Fang, Tackle","Ice Beam, Ice Punch, Frustration (Shadow), Return (Purified)"
0555,Darmanitan Standard Mode,Fire,263,114,233,10%,7%,"Fire Fang, Incinerate, Tackle","Focus Blast, Overheat, Psychic, Rock Slide"
0555,Darmanitan Galarian Standard Mode,Ice,263,114,233,10%,7%,"Ice Fang, Tackle","Avalanche, Ice Punch, Overheat, Superpower"
0556,Maractus,Grass,201,130,181,20%,7%,"Bullet Seed, Poison Jab","Aerial Ace, Petal Blizzard, Solar Beam"
0557,Dwebble,Bug Rock,118,128,137,30%,10%,"Cut, Smack Down","Rock Blast, Rock Tomb, X-Scissor"
0558,Crustle,Bug Rock,188,200,172,10%,7%,"Fury Cutter, Smack Down","Rock Blast, Rock Slide, X-Scissor"
0559,Scraggy,Dark Fighting,132,132,137,30%,9%,"Feint Attack, Rock Smash","Acid Spray, Brick Break, Foul Play"
0560,Scrafty,Dark Fighting,163,222,163,10%,7%,"Counter, Snarl","Acid Spray, Foul Play, Power-Up Punch"
0561,Sigilyph,Psychic Flying,204,167,176,20%,7%,"Air Slash, Zen Headbutt","Air Cutter, Ancient Power, Psybeam, Signal Beam"
0562,Yamask,Ghost,95,141,116,30%,10%,"Astonish, Zen Headbutt","Dark Pulse, Ominous Wind, Shadow Ball, Frustration (Shadow), Return (Purified)"
0562,Yamask Galarian Yamask,Ground Ghost,95,141,116,30%,10%,Astonish,"Night Shade, Rock Tomb, Frustration (Shadow), Return (Purified)"
0563,Cofagrigus,Ghost,163,237,151,10%,7%,"Astonish, Shadow Claw, Zen Headbutt","Dark Pulse, Psychic, Shadow Ball, Frustration (Shadow), Return (Purified)"
0564,Tirtouga,Water Rock,134,146,144,30%,10%,"Bite, Water Gun","Ancient Power, Body Slam, Surf"
0565,Carracosta,Water Rock,192,197,179,10%,7%,"Rock Throw, Water Gun","Ancient Power, Body Slam, Liquidation, Surf"
0566,Archen,Rock Flying,213,89,146,30%,9%,"Quick Attack, Wing Attack","Ancient Power, Crunch, Dragon Claw"
0567,Archeops,Rock Flying,292,139,181,10%,7%,"Steel Wing, Wing Attack","Ancient Power, Crunch, Dragon Claw"
0568,Trubbish,Poison,96,122,137,30%,9%,"Pound, Take Down","Gunk Shot, Seed Bomb"
0569,Garbodor,Poison,181,164,190,10%,7%,"Infestation, Take Down","Acid Spray, Body Slam, Gunk Shot, Seed Bomb"
0570,Zorua,Dark,153,78,120,30%,9%,"Feint Attack, Scratch","Aerial Ace, Dark Pulse, Foul Play"
0571,Zoroark,Dark,250,127,155,10%,7%,"Shadow Claw, Snarl","Flamethrower, Foul Play, Sludge Bomb"
0572,Minccino,Normal,98,80,146,30%,10%,"Charm, Pound","Aqua Tail, Swift, Thunderbolt"
0573,Cinccino,Normal,198,130,181,10%,7%,"Charm, Pound","Aqua Tail, Hyper Beam, Thunderbolt"
0574,Gothita,Psychic,98,112,128,50%,15%,"Confusion, Pound","Psybeam, Psychic, Psyshock"
0575,Gothorita,Psychic,137,153,155,25%,7%,"Confusion, Pound","Future Sight, Psybeam, Psychic"
0576,Gothitelle,Psychic,176,205,172,12.5%,5%,"Charm, Confusion","Future Sight, Psychic, Rock Slide"
0577,Solosis,Psychic,170,83,128,50%,15%,"Hidden Power, Zen Headbutt","Night Shade, Psyshock, Thunder"
0578,Duosion,Psychic,208,103,163,25%,7%,"Hidden Power, Zen Headbutt","Night Shade, Psyshock, Thunder"
0579,Reuniclus,Psychic,214,148,242,12.5%,5%,"Hidden Power, Zen Headbutt","Future Sight, Shadow Ball, Thunder"
0580,Ducklett,Water Flying,84,96,158,50%,15%,"Water Gun, Wing Attack","Aerial Ace, Brave Bird, Bubble Beam, Frustration (Shadow), Return (Purified)"
0581,Swanna,Water Flying,182,132,181,40%,12%,"Air Slash, Water Gun","Bubble Beam, Hurricane, Ice Beam, Frustration (Shadow), Return (Purified)"
0582,Vanillite,Ice,118,106,113,40%,7%,"Astonish, Powder Snow","Ice Beam, Icy Wind, Signal Beam"
0583,Vanillish,Ice,151,138,139,5%,5%,"Astonish, Frost Breath","Ice Beam, Icy Wind, Signal Beam"
0584,Vanilluxe,Ice,218,184,174,12.5%,5%,"Astonish, Frost Breath","Blizzard, Flash Cannon, Signal Beam"
0585,Deerling Spring Form,Normal Grass,115,100,155,30%,0%,"Tackle, Take Down","Energy Ball, Seed Bomb, Trailblaze, Wild Charge"
0585,Deerling Autumn Form,Normal Grass,115,100,155,30%,0%,"Tackle, Take Down","Energy Ball, Seed Bomb, Trailblaze, Wild Charge"
0585,Deerling Summer Form,Normal Grass,115,100,155,30%,0%,"Tackle, Take Down","Energy Ball, Seed Bomb, Trailblaze, Wild Charge"
0585,Deerling Winter Form,Normal Grass,115,100,155,30%,0%,"Tackle, Take Down","Energy Ball, Seed Bomb, Trailblaze, Wild Charge"
0586,Sawsbuck Spring Form,Normal Grass,198,146,190,15%,0%,"Feint Attack, Take Down","Hyper Beam, Megahorn, Solar Beam, Trailblaze, Wild Charge"
0586,Sawsbuck Autumn Form,Normal Grass,198,146,190,15%,0%,"Feint Attack, Take Down","Hyper Beam, Megahorn, Solar Beam, Trailblaze, Wild Charge"
0586,Sawsbuck Summer Form,Normal Grass,198,146,190,15%,0%,"Feint Attack, Take Down","Hyper Beam, Megahorn, Solar Beam, Trailblaze, Wild Charge"
0586,Sawsbuck Winter Form,Normal Grass,198,146,190,20%,0%,"Feint Attack, Take Down","Hyper Beam, Megahorn, Solar Beam, Trailblaze, Wild Charge"
0587,Emolga,Electric Flying,158,127,146,20%,7%,"Quick Attack, Thunder Shock","Acrobatics, Aerial Ace, Discharge, Thunderbolt"
0588,Karrablast,Bug,137,87,137,30%,10%,"Fury Cutter, Peck","Aerial Ace, Drill Run, Signal Beam, X-Scissor"
0589,Escavalier,Bug Steel,223,187,172,12.5%,5%,"Bug Bite, Counter","Acid Spray, Aerial Ace, Drill Run, Megahorn"
0590,Foongus,Grass Poison,97,91,170,30%,10%,"Astonish, Feint Attack","Body Slam, Energy Ball, Grass Knot, Frustration (Shadow), Return (Purified)"
0591,Amoonguss,Grass Poison,155,139,249,12.5%,5%,"Astonish, Feint Attack","Foul Play, Grass Knot, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0592,Frillish Male,Water Ghost,115,134,146,30%,9%,"Bubble, Hex","Ice Beam, Night Shade, Ominous Wind"
0592,Frillish Female,Water Ghost,115,134,146,30%,9%,"Bubble, Hex","Ice Beam, Night Shade, Ominous Wind"
0593,Jellicent Male,Water Ghost,159,178,225,12.5%,5%,"Bubble, Hex","Bubble Beam, Ice Beam, Shadow Ball, Surf"
0593,Jellicent Female,Water Ghost,159,178,225,12.5%,5%,"Bubble, Hex","Bubble Beam, Ice Beam, Shadow Ball, Surf"
0594,Alomomola,Water,138,131,338,20%,7%,"Hidden Power, Waterfall","Blizzard, Hydro Pump, Psychic"
0595,Joltik,Bug Electric,110,98,137,30%,10%,"Charge Beam, Sucker Punch","Bug Buzz, Cross Poison, Discharge, Frustration (Shadow), Return (Purified)"
0596,Galvantula,Bug Electric,201,128,172,12.5%,5%,"Fury Cutter, Volt Switch","Bug Buzz, Cross Poison, Discharge, Energy Ball, Lunge, Frustration (Shadow), Return (Purified)"
0597,Ferroseed,Grass Steel,82,155,127,30%,9%,"Metal Claw, Tackle","Flash Cannon, Gyro Ball, Iron Head"
0598,Ferrothorn,Grass Steel,158,223,179,12.5%,5%,"Bullet Seed, Metal Claw","Acid Spray, Flash Cannon, Mirror Shot, Power Whip, Thunder"
0599,Klink,Steel,98,121,120,40%,10%,"Charge Beam, Volt Switch","Discharge, Vise Grip, Zap Cannon"
0600,Klang,Steel,150,174,155,10%,7%,"Charge Beam, Thunder Shock","Thunderbolt, Vise Grip, Zap Cannon"
0601,Klinklang,Steel,199,214,155,5%,5%,"Charge Beam, Thunder Shock","Flash Cannon, Hyper Beam, Mirror Shot, Zap Cannon"
0602,Tynamo,Electric,105,78,111,40%,15%,"Spark, Tackle",Struggle
0603,Eelektrik,Electric,156,130,163,10%,7%,"Acid, Spark","Crunch, Discharge, Thunderbolt"
0604,Eelektross,Electric,217,152,198,5%,5%,"Acid, Spark","Acid Spray, Crunch, Dragon Claw, Liquidation, Thunderbolt"
0605,Elgyem,Psychic,148,100,146,30%,10%,"Astonish, Confusion","Dark Pulse, Psybeam, Psychic"
0606,Beheeyem,Psychic,221,163,181,15%,5%,"Astonish, Confusion","Dark Pulse, Psychic, Rock Slide"
0607,Litwick,Ghost Fire,108,98,137,40%,9%,"Astonish, Ember","Flame Burst, Flame Charge, Heat Wave, Mystical Fire, Frustration (Shadow), Return (Purified)"
0608,Lampent,Ghost Fire,169,115,155,10%,7%,"Astonish, Ember","Energy Ball, Flame Burst, Heat Wave, Frustration (Shadow), Return (Purified)"
